N_Teste,N_Vertices,Tempo_Dijkstra_micros,Tempo_BMSSP_micros
966,500,221,1464
967,500,222,1438
968,500,226,1452
969,500,234,1480
970,500,219,1462
971,500,226,1447
972,500,225,1513
973,500,230,1489
974,500,232,1503
975,500,228,1453
976,500,219,1438
977,500,225,1468
978,500,230,1471
979,500,237,1604
980,500,224,1452
981,500,224,1463
982,500,223,1441
983,500,225,1477
984,500,217,1456
985,500,215,1461
986,500,221,1557
987,500,218,1459
988,500,225,1465
989,500,233,1463
990,500,241,1512
991,500,233,1484
992,500,233,1500
993,500,231,1586
994,500,227,1496
995,500,228,1451
996,500,220,1439
997,500,227,1471
998,500,236,1502
999,500,226,1477
1000,550,250,1628
1001,550,246,1587
1002,550,257,1647
1003,550,271,1726
1004,550,288,2024
1005,550,269,1660
1006,550,263,1616
1007,550,250,1648
1008,550,267,1644
1009,550,262,1658
1010,550,259,1636
1011,550,264,1822
1012,550,252,1641
1013,550,270,1663
1014,550,256,1692
1015,550,261,1659
1016,550,270,1649
1017,550,268,1702
1018,550,261,1648
1019,550,253,1633
1020,550,262,1660
1021,550,258,1646
1022,550,257,1749
1023,550,257,1716
1024,550,254,1638
1025,550,274,1621
1026,550,257,1610
1027,550,254,1626
1028,550,255,1625
1029,550,254,1647
1030,550,253,1622
1031,550,257,1624
1032,550,262,1699
1033,550,262,1631
1034,550,267,1622
1035,550,254,1676
1036,550,260,1620
1037,550,258,1685
1038,550,268,1647
1039,550,255,1656
1040,550,254,1624
1041,550,266,1654
1042,550,267,1654
1043,550,273,1658
1044,550,257,1691
1045,550,255,1651
1046,550,256,1637
1047,550,256,1639
1048,550,261,1651
1049,550,265,1646
1050,550,255,1628
1051,550,258,1640
1052,550,269,1666
1053,550,251,1679
1054,550,260,1652
1055,550,255,1651
1056,550,257,1662
1057,550,261,1673
1058,550,265,1691
1059,550,258,1671
1060,550,256,1622
1061,550,267,1679
1062,550,273,1668
1063,550,270,1693
1064,550,264,1685
1065,550,258,1649
1066,550,267,1632
1067,550,266,1692
1068,550,262,1671
1069,550,266,1668
1070,550,275,1667
1071,550,265,1624
1072,550,261,1652
1073,550,265,1673
1074,550,256,1622
1075,550,270,1671
1076,550,260,1650
1077,550,258,1661
1078,550,258,1644
1079,550,266,1705
1080,550,264,1672
1081,550,258,1654
1082,550,269,1682
1083,550,258,1632
1084,550,257,1660
1085,550,267,1638
1086,550,261,1682
1087,550,264,1724
1088,550,281,1660
1089,550,259,1672
1090,550,254,1653
1091,550,261,1658
1092,550,254,1660
1093,550,289,1690
1094,550,258,1673
1095,550,264,1656
1096,550,260,1656
1097,550,271,1684
1098,550,259,1653
1099,550,267,1647
1100,550,256,1654
1101,550,253,1647
1102,550,248,1613
1103,550,261,1655
1104,550,281,1755
1105,550,259,1685
1106,550,254,1613
1107,550,262,1648
1108,550,259,1640
1109,550,253,1621
1110,550,254,1671
1111,550,250,1605
1112,550,262,1648
1113,550,306,1703
1114,550,257,1656
1115,550,261,1642
1116,550,271,1703
1117,550,258,1673
1118,550,261,1671
1119,550,262,1775
1120,550,256,1664
1121,550,260,1653
1122,550,265,1726
1123,550,261,1675
1124,550,264,1658
1125,550,258,1651
1126,550,266,1658
1127,550,261,1653
1128,550,259,1690
1129,550,254,1666
1130,550,267,1629
1131,550,275,1667
1132,550,260,1647
1133,550,276,1919
1134,550,266,1778
1135,550,267,1792
1136,550,265,1760
1137,550,279,1741
1138,550,268,1664
1139,550,264,1740
1140,550,263,1675
1141,550,271,1721
1142,550,260,1704
1143,550,258,1747
1144,550,267,1716
1145,550,259,1681
1146,550,261,1750
1147,550,297,1798
1148,550,263,1705
1149,550,258,1680
1150,550,271,1845
1151,550,266,1719
1152,550,256,1706
1153,550,269,1719
1154,550,264,1716
1155,550,262,1744
1156,550,280,1884
1157,550,270,1793
1158,550,268,1670
1159,550,263,1694
1160,550,270,1667
1161,550,264,1684
1162,550,262,1685
1163,550,265,1717
1164,550,268,1739
1165,550,255,1668
1166,550,333,1727
1167,550,283,1881
1168,550,266,1735
1169,550,266,1668
1170,550,272,1717
1171,550,267,1687
1172,550,262,1644
1173,550,265,1729
1174,550,259,2015
1175,550,261,1653
1176,550,262,1718
1177,550,265,1685
1178,550,260,1681
1179,550,256,1704
1180,550,264,1680
1181,550,270,1681
1182,550,280,1693
1183,550,256,1627
1184,550,272,1719
1185,550,258,1688
1186,550,260,1667
1187,550,261,1697
1188,550,255,1657
1189,550,260,1704
1190,550,270,1764
1191,550,269,1673
1192,550,266,1705
1193,550,263,1671
1194,550,266,1655
1195,550,276,1675
1196,550,279,1711
1197,550,260,1699
1198,550,264,1646
1199,550,258,1630
1200,600,301,1909
1201,600,291,1776
1202,600,279,1833
1203,600,283,1863
1204,600,282,1797
1205,600,282,1814
1206,600,304,1865
1207,600,291,1852
1208,600,324,1969
1209,600,290,1854
1210,600,298,1852
1211,600,288,1872
1212,600,302,1904
1213,600,301,1869
1214,600,297,1901
1215,600,298,1927
1216,600,302,1896
1217,600,299,1882
1218,600,293,1865
1219,600,301,1894
1220,600,340,2039
1221,600,297,1853
1222,600,410,1956
1223,600,296,1877
1224,600,296,1884
1225,600,295,1928
1226,600,293,1905
1227,600,293,1913
1228,600,296,1918
1229,600,319,1913
1230,600,315,1851
1231,600,295,1905
1232,600,298,1941
1233,600,333,1883
1234,600,307,2224
1235,600,297,1895
1236,600,293,1869
1237,600,341,1897
1238,600,300,1928
1239,600,292,1894
1240,600,303,1883
1241,600,291,1860
1242,600,297,1898
1243,600,295,1912
1244,600,291,1934
1245,600,295,1908
1246,600,295,1910
1247,600,293,1861
1248,600,307,1908
1249,600,294,1866
1250,600,313,1943
1251,600,291,1868
1252,600,292,1883
1253,600,323,2123
1254,600,291,1867
1255,600,301,1905
1256,600,297,1905
1257,600,292,1862
1258,600,300,1897
1259,600,298,1908
1260,600,291,1858
1261,600,298,1891
1262,600,291,1837
1263,600,296,1919
1264,600,295,1860
1265,600,302,1929
1266,600,299,1882
1267,600,310,1883
1268,600,299,1899
1269,600,298,1901
1270,600,304,1907
1271,600,293,1857
1272,600,302,1913
1273,600,290,1873
1274,600,295,1910
1275,600,298,1921
1276,600,293,1862
1277,600,295,1915
1278,600,320,1885
1279,600,302,1894
1280,600,295,1906
1281,600,295,1878
1282,600,300,1882
1283,600,293,1891
1284,600,295,1905
1285,600,295,1895
1286,600,298,1885
1287,600,305,1942
1288,600,328,1879
1289,600,291,1877
1290,600,290,1819
1291,600,285,1835
1292,600,301,1858
1293,600,286,1873
1294,600,301,1877
1295,600,298,1887
1296,600,290,1873
1297,600,295,1879
1298,600,303,1888
1299,600,300,1900
1300,600,280,1816
1301,600,274,2157
1302,600,281,1793
1303,600,284,1787
1304,600,292,1920
1305,600,295,1960
1306,600,297,1901
1307,600,308,1863
1308,600,295,1883
1309,600,289,1852
1310,600,310,1891
1311,600,297,1857
1312,600,294,1868
1313,600,293,1864
1314,600,289,1857
1315,600,293,1868
1316,600,296,1887
1317,600,297,1916
1318,600,291,1916
1319,600,295,1879
1320,600,298,1854
1321,600,301,1911
1322,600,289,1846
1323,600,298,1858
1324,600,304,1878
1325,600,301,1913
1326,600,291,1888
1327,600,291,1867
1328,600,298,1895
1329,600,293,1863
1330,600,304,1876
1331,600,319,1830
1332,600,292,1879
1333,600,296,1863
1334,600,294,1873
1335,600,299,1909
1336,600,298,1895
1337,600,298,1875
1338,600,290,1896
1339,600,289,1851
1340,600,305,1881
1341,600,291,1878
1342,600,303,1890
1343,600,297,1923
1344,600,313,1918
1345,600,294,1864
1346,600,296,1903
1347,600,297,1889
1348,600,300,1916
1349,600,301,1910
1350,600,289,1880
1351,600,294,1901
1352,600,298,1868
1353,600,326,1863
1354,600,306,1958
1355,600,293,1872
1356,600,290,1843
1357,600,308,1844
1358,600,296,1871
1359,600,297,1993
1360,600,302,1911
1361,600,300,1917
1362,600,294,1904
1363,600,291,1858
1364,600,287,1948
1365,600,294,1838
1366,600,305,1895
1367,600,294,1907
1368,600,312,1885
1369,600,301,1988
1370,600,300,1885
1371,600,297,1878
1372,600,289,1868
1373,600,293,1857
1374,600,313,1924
1375,600,295,1881
1376,600,299,1869
1377,600,296,1930
1378,600,339,1899
1379,600,296,1844
1380,600,305,1947
1381,600,293,1902
1382,600,293,1902
1383,600,353,2006
1384,600,383,2305
1385,600,295,1914
1386,600,316,1952
1387,600,312,2111
1388,600,346,1975
1389,600,314,2550
1390,600,295,1950
1391,600,299,1902
1392,600,306,1905
1393,600,306,1930
1394,600,301,1894
1395,600,297,1918
1396,600,302,1979
1397,600,297,1917
1398,600,297,1960
1399,600,296,2009
1400,650,328,2092
1401,650,323,2112
1402,650,341,2128
1403,650,336,2239
1404,650,337,2045
1405,650,323,2087
1406,650,322,2055
1407,650,330,2075
1408,650,330,2031
1409,650,329,2112
1410,650,328,2031
1411,650,330,2090
1412,650,331,2098
1413,650,379,2314
1414,650,326,2045
1415,650,366,2041
1416,650,331,2121
1417,650,325,2048
1418,650,330,2112
1419,650,335,2101
1420,650,324,2096
1421,650,364,2234
1422,650,354,2107
1423,650,328,2075
1424,650,335,2123
1425,650,359,2142
1426,650,345,2176
1427,650,329,2141
1428,650,329,2087
1429,650,361,2230
1430,650,378,2088
1431,650,333,2068
1432,650,336,2092
1433,650,329,2176
1434,650,345,2193
1435,650,335,2107
1436,650,387,2115
1437,650,380,2230
1438,650,360,2118
1439,650,344,2143
1440,650,333,2088
1441,650,338,2094
1442,650,333,2075
1443,650,341,2133
1444,650,333,2052
1445,650,341,2153
1446,650,339,2137
1447,650,328,2138
1448,650,330,2111
1449,650,334,2156
1450,650,330,2109
1451,650,336,2151
1452,650,335,2070
1453,650,348,2163
1454,650,340,2083
1455,650,341,2166
1456,650,330,2079
1457,650,357,2082
1458,650,334,2126
1459,650,325,2063
1460,650,336,2081
1461,650,336,2072
1462,650,347,2142
1463,650,330,2112
1464,650,346,2095
1465,650,332,2063
1466,650,335,2076
1467,650,331,2066
1468,650,344,2124
1469,650,334,2098
1470,650,343,2183
1471,650,328,2085
1472,650,339,2145
1473,650,334,2110
1474,650,335,2125
1475,650,326,2077
1476,650,344,2125
1477,650,327,2166
1478,650,332,2055
1479,650,327,2056
1480,650,338,2092
1481,650,338,2177
1482,650,335,2125
1483,650,332,2099
1484,650,329,2137
1485,650,331,2124
1486,650,322,2023
1487,650,357,2045
1488,650,321,2046
1489,650,327,2266
1490,650,330,2095
1491,650,336,2094
1492,650,331,2070
1493,650,321,2153
1494,650,319,2022
1495,650,343,2057
1496,650,320,2085
1497,650,323,2065
1498,650,325,2046
1499,650,322,2048
1500,650,333,2060
1501,650,387,1997
1502,650,334,2127
1503,650,353,2111
1504,650,376,2044
1505,650,371,2167
1506,650,341,2057
1507,650,331,2082
1508,650,328,2060
1509,650,332,2091
1510,650,329,2114
1511,650,420,2025
1512,650,335,2091
1513,650,329,2119
1514,650,345,2066
1515,650,339,2122
1516,650,335,2085
1517,650,338,2084
1518,650,333,2100
1519,650,339,2134
1520,650,324,2059
1521,650,336,2145
1522,650,325,2137
1523,650,339,2129
1524,650,333,2138
1525,650,341,2090
